id_aluno,id_municipio,id_escola,alfabetizado,uf,regiao,rede,prob_alfabetizado,pred_alfabetizado
43032698,4320909,60036312,1,RS,Sul,3,0.5630463267954544,1
43032699,4320909,60036312,0,RS,Sul,3,0.5630463267954544,1
43032707,4320909,60036312,0,RS,Sul,3,0.5630463267954544,1
43032692,4320909,60036312,0,RS,Sul,3,0.5630463267954544,1
43031870,4314498,60036317,1,RS,Sul,3,0.5007869890292856,1
43031871,4314498,60036317,1,RS,Sul,3,0.5007869890292856,1
43031866,4314498,60036317,1,RS,Sul,3,0.5007869890292856,1
43046867,4311643,60036320,0,RS,Sul,3,0.8078228105233536,1
43046859,4311643,60036320,1,RS,Sul,3,0.8078228105233536,1
43039797,4300208,60036336,1,RS,Sul,2,0.6338683100409965,1
43039799,4300208,60036336,1,RS,Sul,2,0.6338683100409965,1
43039809,4300208,60036336,1,RS,Sul,2,0.6338683100409965,1
43107794,4300505,60036366,0,RS,Sul,3,0.451868283897644,0
43107799,4300505,60036366,1,RS,Sul,3,0.451868283897644,0
43027868,4301404,60036435,1,RS,Sul,3,0.5770271551414405,1
43027872,4301404,60036435,1,RS,Sul,3,0.5770271551414405,1
43027912,4301404,60036437,1,RS,Sul,2,0.6343413873633356,1
43005439,4302105,60036504,1,RS,Sul,3,0.626711710636416,1
43005619,4302105,60036511,0,RS,Sul,2,0.6637017722642242,1
43005610,4302105,60036511,0,RS,Sul,2,0.6637017722642242,1
43005686,4302105,60036513,1,RS,Sul,2,0.6637017722642242,1
43005677,4302105,60036513,1,RS,Sul,2,0.6637017722642242,1
43005683,4302105,60036513,1,RS,Sul,2,0.6637017722642242,1
43044723,4302402,60036544,0,RS,Sul,2,0.7109131578825585,1
43044708,4302402,60036544,1,RS,Sul,2,0.7109131578825585,1
43007948,4303004,60036592,1,RS,Sul,3,0.5569189101620912,1
43007960,4303004,60036592,0,RS,Sul,3,0.5569189101620912,1
43007947,4303004,60036592,1,RS,Sul,3,0.5569189101620912,1
43007954,4303004,60036592,0,RS,Sul,3,0.5569189101620912,1
43007946,4303004,60036592,1,RS,Sul,3,0.5569189101620912,1
43107830,4303558,60036656,1,RS,Sul,3,0.703944305132324,1
43107834,4303558,60036656,0,RS,Sul,3,0.703944305132324,1
43081830,4303707,60036659,0,RS,Sul,3,0.6947725507862692,1
43081829,4303707,60036659,1,RS,Sul,3,0.6947725507862692,1
43101816,4303806,60036661,0,RS,Sul,2,0.7333882333796324,1
43101818,4303806,60036661,0,RS,Sul,2,0.7333882333796324,1
43079265,4304309,60036692,1,RS,Sul,2,0.6016670045755154,1
43079272,4304309,60036692,0,RS,Sul,2,0.6016670045755154,1
43079260,4304309,60036692,0,RS,Sul,2,0.6016670045755154,1
43014098,4304630,60036791,0,RS,Sul,2,0.39055525686259096,0
43014099,4304630,60036791,0,RS,Sul,2,0.39055525686259096,0
43014140,4304630,60036792,0,RS,Sul,3,0.39687983514397335,0
43014145,4304630,60036792,0,RS,Sul,3,0.39687983514397335,0
43014148,4304630,60036792,0,RS,Sul,3,0.39687983514397335,0
43014141,4304630,60036792,0,RS,Sul,3,0.39687983514397335,0
43014150,4304630,60036792,0,RS,Sul,3,0.39687983514397335,0
43014139,4304630,60036792,0,RS,Sul,3,0.39687983514397335,0
43023681,4304689,60036812,1,RS,Sul,3,0.49270428543796385,0
43023683,4304689,60036812,1,RS,Sul,3,0.49270428543796385,0
43023676,4304689,60036812,1,RS,Sul,3,0.49270428543796385,0
43023677,4304689,60036812,0,RS,Sul,3,0.49270428543796385,0
43045864,4312625,60036974,1,RS,Sul,2,0.524833667523474,1
43037864,4306304,60037021,0,RS,Sul,3,0.5727848344977564,1
43037859,4306304,60037021,1,RS,Sul,3,0.5727848344977564,1
43024128,4306403,60037023,0,RS,Sul,3,0.6316836367645625,1
43024135,4306403,60037023,1,RS,Sul,3,0.6316836367645625,1
43024117,4306403,60037023,1,RS,Sul,3,0.6316836367645625,1
43024196,4306403,60037025,1,RS,Sul,2,0.7289729922170308,1
43024195,4306403,60037025,1,RS,Sul,2,0.7289729922170308,1
43024238,4306403,60037027,1,RS,Sul,2,0.7289729922170308,1
43024245,4306403,60037027,0,RS,Sul,2,0.7289729922170308,1
43024333,4306403,60037030,1,RS,Sul,3,0.6316836367645625,1
43024348,4312476,60037031,1,RS,Sul,3,0.44157308980390514,0
43024350,4312476,60037031,1,RS,Sul,3,0.44157308980390514,0
43024354,4312476,60037031,1,RS,Sul,3,0.44157308980390514,0
43024351,4312476,60037031,1,RS,Sul,3,0.44157308980390514,0
43024352,4312476,60037031,0,RS,Sul,3,0.44157308980390514,0
43004232,4306601,60037053,1,RS,Sul,3,0.5711948089257962,1
43004233,4306601,60037053,0,RS,Sul,3,0.5711948089257962,1
43004235,4306601,60037053,1,RS,Sul,3,0.5711948089257962,1
43043192,4307104,60037108,0,RS,Sul,3,0.4451516801027411,0
43101883,4308052,60037182,0,RS,Sul,3,0.5084432816266488,1
43101886,4308052,60037182,0,RS,Sul,3,0.5084432816266488,1
43101887,4308052,60037182,1,RS,Sul,3,0.5084432816266488,1
43034728,4309209,60037291,0,RS,Sul,3,0.4504652056776175,0
43034715,4309209,60037291,0,RS,Sul,3,0.4504652056776175,0
43034702,4309209,60037291,0,RS,Sul,3,0.4504652056776175,0
43034710,4309209,60037291,1,RS,Sul,3,0.4504652056776175,0
43034704,4309209,60037291,0,RS,Sul,3,0.4504652056776175,0
43034726,4309209,60037291,1,RS,Sul,3,0.4504652056776175,0
43035441,4309209,60037306,1,RS,Sul,3,0.4504652056776175,0
43035432,4309209,60037306,1,RS,Sul,3,0.4504652056776175,0
43045920,4309258,60037322,0,RS,Sul,3,0.5673238834261486,1
43101088,4312153,60037327,0,RS,Sul,3,0.4553964918063236,0
43038030,4309407,60037351,0,RS,Sul,2,0.6343413873633356,1
43038023,4309407,60037351,1,RS,Sul,2,0.6343413873633356,1
43073202,4309803,60037365,0,RS,Sul,3,0.6244134411680671,1
43073198,4309803,60037365,1,RS,Sul,3,0.6244134411680671,1
43073191,4309803,60037365,1,RS,Sul,3,0.6244134411680671,1
43022830,4310009,60037372,1,RS,Sul,2,0.6672168900668892,1
43022791,4310009,60037372,1,RS,Sul,2,0.6672168900668892,1
43022831,4310009,60037372,1,RS,Sul,2,0.6672168900668892,1
43022815,4310009,60037372,1,RS,Sul,2,0.6672168900668892,1
43022799,4310009,60037372,0,RS,Sul,2,0.6672168900668892,1
43022853,4310009,60037373,1,RS,Sul,2,0.6672168900668892,1
43022862,4310009,60037373,0,RS,Sul,2,0.6672168900668892,1
43022940,4310009,60037376,0,RS,Sul,3,0.6371681463655003,1
43022943,4310009,60037376,1,RS,Sul,3,0.6371681463655003,1
43022942,4310009,60037376,0,RS,Sul,3,0.6371681463655003,1
43041001,4311155,60037480,1,RS,Sul,2,0.44692964318191947,0
43040981,4311155,60037480,1,RS,Sul,2,0.44692964318191947,0
43044362,4316758,60037526,0,RS,Sul,2,0.5670235587599767,1
43023117,4312658,60037576,0,RS,Sul,3,0.5756766245543623,1
43023108,4312658,60037576,1,RS,Sul,3,0.5756766245543623,1
43028831,4312658,60037582,1,RS,Sul,3,0.5756766245543623,1
43028829,4312658,60037582,0,RS,Sul,3,0.5756766245543623,1
43028840,4312658,60037582,1,RS,Sul,3,0.5756766245543623,1
43028830,4312658,60037582,1,RS,Sul,3,0.5756766245543623,1
43032195,4315552,60037584,1,RS,Sul,3,0.4437615025414434,0
43032196,4315552,60037584,0,RS,Sul,3,0.4437615025414434,0
43032185,4315552,60037584,1,RS,Sul,3,0.4437615025414434,0
43024655,4314423,60037608,1,RS,Sul,3,0.696597070266534,1
43014779,4311775,60037678,0,RS,Sul,2,0.5940703343361015,1
43014784,4311775,60037678,1,RS,Sul,2,0.5940703343361015,1
43032222,4314498,60037714,0,RS,Sul,2,0.5697471259269398,1
43032228,4314498,60037714,1,RS,Sul,2,0.5697471259269398,1
43052698,4314050,60037743,0,RS,Sul,3,0.501128865163586,1
43052853,4314050,60037746,0,RS,Sul,3,0.501128865163586,1
43052856,4314050,60037746,0,RS,Sul,3,0.501128865163586,1
43052860,4314050,60037746,0,RS,Sul,3,0.501128865163586,1
43052850,4314050,60037746,1,RS,Sul,3,0.501128865163586,1
43052849,4314050,60037746,0,RS,Sul,3,0.501128865163586,1
43052922,4314050,60037748,0,RS,Sul,3,0.501128865163586,1
43052925,4314050,60037748,1,RS,Sul,3,0.501128865163586,1
43052957,4314050,60037750,0,RS,Sul,3,0.501128865163586,1
43053135,4314050,60037754,1,RS,Sul,3,0.501128865163586,1
43053127,4314050,60037754,0,RS,Sul,3,0.501128865163586,1
43053131,4314050,60037754,0,RS,Sul,3,0.501128865163586,1
43045113,4314159,60037807,0,RS,Sul,3,0.5862767954603882,1
43045116,4314159,60037807,0,RS,Sul,3,0.5862767954603882,1
43045164,4314159,60037810,0,RS,Sul,3,0.5862767954603882,1
43045170,4314159,60037810,1,RS,Sul,3,0.5862767954603882,1
43022183,4314308,60037816,1,RS,Sul,2,0.6394437216639072,1
43022188,4314308,60037816,1,RS,Sul,2,0.6394437216639072,1
43022219,4314308,60037817,1,RS,Sul,3,0.6143216127339376,1
43022210,4314308,60037817,1,RS,Sul,3,0.6143216127339376,1
43028884,4315354,60038154,1,RS,Sul,2,0.6463847078709479,1
43031613,4306072,60038236,1,RS,Sul,2,0.7574146557880749,1
43031601,4306072,60038236,1,RS,Sul,2,0.7574146557880749,1
43082953,4316006,60038238,0,RS,Sul,3,0.5528001115300893,1
43082969,4316006,60038239,0,RS,Sul,2,0.601558223267238,1
43082990,4316006,60038240,1,RS,Sul,2,0.601558223267238,1
43083044,4316006,60038242,1,RS,Sul,3,0.5528001115300893,1
43083053,4316006,60038242,1,RS,Sul,3,0.5528001115300893,1
43072734,4316402,60038249,0,RS,Sul,2,0.5683265170765521,1
43072736,4316402,60038249,0,RS,Sul,2,0.5683265170765521,1
43072730,4316402,60038249,0,RS,Sul,2,0.5683265170765521,1
43107736,4316451,60038261,1,RS,Sul,3,0.5442653449016948,1
43107740,4316451,60038261,0,RS,Sul,3,0.5442653449016948,1
43107735,4316451,60038261,1,RS,Sul,3,0.5442653449016948,1
43107919,4316956,60038374,0,RS,Sul,3,0.5957821279401481,1
43081149,4317400,60038445,1,RS,Sul,3,0.4834751800207655,0
43081143,4317400,60038445,0,RS,Sul,3,0.4834751800207655,0
43081369,4317400,60038453,0,RS,Sul,2,0.5155153763262715,1
43081377,4317400,60038453,1,RS,Sul,2,0.5155153763262715,1
43081393,4317400,60038454,1,RS,Sul,2,0.5155153763262715,1
43081385,4317400,60038454,0,RS,Sul,2,0.5155153763262715,1
43081445,4317400,60038456,0,RS,Sul,3,0.4834751800207655,0
43081528,4317400,60038458,0,RS,Sul,3,0.4834751800207655,0
43081530,4317400,60038458,0,RS,Sul,3,0.4834751800207655,0
43081533,4317400,60038458,1,RS,Sul,3,0.4834751800207655,0
43078978,4317905,60038509,1,RS,Sul,3,0.48683880173015887,0
43078975,4317905,60038509,0,RS,Sul,3,0.48683880173015887,0
43079005,4317905,60038510,1,RS,Sul,2,0.46591752221193045,0
43094061,4301750,60038577,0,RS,Sul,3,0.5084643340889042,1
43070025,4318507,60038588,0,RS,Sul,3,0.45200388582549467,0
43070011,4318507,60038588,0,RS,Sul,3,0.45200388582549467,0
43070014,4318507,60038588,0,RS,Sul,3,0.45200388582549467,0
43070018,4318507,60038588,1,RS,Sul,3,0.45200388582549467,0
43070026,4318507,60038588,0,RS,Sul,3,0.45200388582549467,0
43082787,4319158,60038684,0,RS,Sul,3,0.502967433303804,1
43082783,4319158,60038684,1,RS,Sul,3,0.502967433303804,1
43082778,4319158,60038684,0,RS,Sul,3,0.502967433303804,1
43107636,4319158,60038685,1,RS,Sul,3,0.502967433303804,1
43047645,4319505,60038696,0,RS,Sul,2,0.5522014289397112,1
43047660,4319505,60038696,0,RS,Sul,2,0.5522014289397112,1
43047655,4319505,60038696,0,RS,Sul,2,0.5522014289397112,1
43091193,4319901,60038720,0,RS,Sul,2,0.4990088356290539,0
43091145,4319901,60038720,1,RS,Sul,2,0.4990088356290539,0
43091142,4319901,60038720,1,RS,Sul,2,0.4990088356290539,0
43091138,4319901,60038720,0,RS,Sul,2,0.4990088356290539,0
43091194,4319901,60038720,1,RS,Sul,2,0.4990088356290539,0
43044451,4314753,60038785,1,RS,Sul,3,0.4125630123917576,0
43014823,4310652,60038786,0,RS,Sul,3,0.5909675733051655,1
43033070,4320503,60038788,0,RS,Sul,3,0.6087456660118129,1
43033066,4320503,60038788,0,RS,Sul,3,0.6087456660118129,1
43093709,4314068,60038793,0,RS,Sul,3,0.4302226937578519,0
43033153,4320909,60038811,0,RS,Sul,3,0.5630463267954544,1
43033158,4320909,60038811,0,RS,Sul,3,0.5630463267954544,1
43033140,4320909,60038811,0,RS,Sul,3,0.5630463267954544,1
43033168,4320909,60038811,0,RS,Sul,3,0.5630463267954544,1
